abstract,title,authors,session,all_keyword_ids,paper_id,session_name,stream,timeslot,track,stream_name,schedule,day,time,start_time,end_time,date,room,keywords,track_code
"Despite recent progress in semi-autonomous vehicle [semi-AV] development, achieving an optimal autonomous traffic system faces challenges due to the low penetration rate of semi-AVs and their need for human oversight. To improve traffic flow in such environments with human-driven vehicles [HVs] and semi-AVs, we advocate the use of dedicated lanes and develop an innovative framework to optimize the network performance by planning the mode choice of semi-AVs [either human-driven or auto-driven]. Specifically, we introduce a three-dimensional Macroscopic Fundamental Diagram [3D-MFD] to characterize the complex flow dynamics in mixed traffic. Our analysis identifies that an optimal proportion of human-driven and auto-driven vehicles can significantly maximize network flow. Inspired by this key finding, we construct an optimization model to regulate semi-AVs’ mode choice, aiming to optimize vehicle proportions within mixed traffic networks. Although solving the model presents challenges due to its nonlinearity and integer constraints, especially in large networks with numerous intersections, the unique structure of the proposed 3D-MFD enables us to derive an analytical solution. This solution significantly reduces the computational complexities of the optimization model, allowing the resulting control strategy to be implemented in real time and substantially improves network performance.",Analytical Strategy for Optimizing Mixed Traffic Networks with Semi-Autonomous Vehicles,"[77141, 77123, 78758]",505,"[150, 113, 131]",1866,Traffic flow modeling ,6,4,56,Transportation,"Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,S04 [building - 101],"['Network Flows', 'Programming, Nonlinear', 'Simulation']",MC-56
"Building and understanding powerful Machine Learning algorithms requires statistical thinking supported by accessible and powerful tools. JMP Pro brings advanced predictive modeling into the classroom, without any need for coding. 

As teaching examples, automated Model Screening and state-of-the-art Torch Deep Learning will be demonstrated from a student's perspective. We will discuss course use and teaching best practices. ",Teaching Predictive Analytics without Coding,[38380],455,"[66, 92, 134]",1867,Experienced Routes for the Teaching Students' Problem,48,4,16,OR Education,"Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,19 [building - 116],"['Machine Learning', 'OR in Education', 'Software']",MC-16
"Most e-commerce companies design combined delivery-pickup logistics systems, where the collection of unsatisfactory items is ensured along with the traditional distribution of products to customers. In this context, a successful option is to solve a Vehicle Routing Problem with Divisible Deliveries and Pickups [VRPDDP] where each customer requiring both a pickup and a delivery service may be served, if beneficial, in two separate visits. In the version of the problem analyzed in our study, there are mandatory delivery and pickup demands that must be fulfilled by a fleet of homogeneous vehicles. In addition, it is needed to ensure that a percentage of optional pickups is served. Optional pickup demands are affected by uncertainty and random variables are used for their representation. In this sense, we refer to our problem as stochastic VRPDDP and model it as a two-stage stochastic program with recourse. More specifically, a set of routes is designed at the first stage. At the second stage, when uncertainty is revealed, it may be impossible to implement the solution as planned at the first stage. Then, two different recourse actions are carried out. The computational experiments confirm the usefulness of using stochastic programming in realistic setting.",A Vehicle Routing Problem with Divisible Deliveries and Pickups under Uncertainty,"[13546, 77477, 42989]",273,"[145, 136, 125]",1869,Urban Logistics and sustainable TRAnsportation - OPtimization under uncertainTY and MAchine Learning,49,4,35,"Stochastic, Robust and Distributionally Robust Optimization","Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,44 [building - 303A],"['Vehicle Routing', 'Stochastic Optimization', 'Reverse Logistics / Remanufacturing']",MC-35
"This paper examines the optimal behavior of carbon-intensive companies operating under the European Union Emission Trading System [EU ETS], wherein they are obligated to purchase emission permits on the secondary market if their emissions exceed their allowance. Specifically, we consider the scenario where these companies, typically required to procure permits at market prices, are endowed with the [real] option to invest in Carbon Capture and Storage [CCS] technology to mitigate their emissions and, thus, permit expenditures. The central challenge is the determination of the optimal time for investment in CCS within a stochastic framework characterized by uncertainty in EU ETS permit prices. To enhance realism, we address the problem for a heterogeneous group of companies distinguished by their respective costs of implementing CCS systems, reflecting varying degrees of environmental consciousness across industrial sectors. Furthermore, we incorporate an increasing floor for permit prices to mirror policy efforts aimed at promoting green transition by elevating emission costs. We solve this problem analytically and through numerical simulations calibrated with real market data. In addition to offering insights into individual company behaviors, the findings can inform decision-makers in refining environmental policies, particularly regarding the management of permits price floor and its potential to expedite the green transition.",Equilibrium Carbon Permit Supply and CCS Investment under Uncertainty,"[67961, 61089, 61552, 61205]",854,"[33, 37, 82]",1870,Dynamics of the Firm II,90,4,33,Optimal Control Theory and Applications,"Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,42 [building - 303A],"['Economic Modeling', 'Energy Policy and Planning', 'Optimal Control']",MC-33
"We consider the problem of allocating wavelengths of an optical network in order to serve a set of connection requests. In order to provide a robust allocation, communication must be ensured even in case of failure of some link, which is obtained by defining, for each connection request, two disjoint paths in the network. Each connection uses its working path by default, and is rerouted to its unique recovery path in case the working path is unavailable. As uniquely assigning both paths to a single connection may be highly inefficient, we adopt a shared protection policy, in which the same wavelength and path can be shared among different connections, provided that no collision arises. We discuss alternative relaxations for the problem based on Mixed-Integer Linear Programming formulations, and introduce a metaheuristic algorithm based on the Ruin-and-Recreate paradigm. Computational experiments on realistic data show that our algorithms are able to produce feasible solutions with tight optimality gap.",Lower and upper bounds for resources allocation in lightpath communication networks,"[7400, 77478, 77476, 2813, 24902]",206,"[14, 53, 141]",1871,Graph and network optimization,64,9,25,Combinatorial Optimization,"Tuesday, 12:30-14:00",T,C,12:30,14:00,2024-07-02,011 [building - 208],"['Combinatorial Optimization', 'Graphs and Networks', 'Telecommunications']",TC-25
"In this study, we propose a novel coordinated supply contract scheme integrating bargaining power [BP] considerations with capacity planning. Our scheme empowers manufacturers to design supply contracts conducive to channel coordination under arbitrary BP scenarios. It comprises two supply contracts - capacity cost sharing [CCS] and surplus capacity compensation [SCC] contracts. In the CCS contract, the manufacturer shares a portion of the supplier's capacity investment cost in a revenue-sharing framework. Conversely, the SCC contract entails the supplier bearing the cost of unused capacity. These contracts incentivize the supplier to invest in production capacity in alignment with the overall supply chain capacity, regardless of the BP scenarios. 
We demonstrate that our contract scheme can satisfy any BP structure. Specifically, the SCC contract facilitates channel coordination under higher supplier BP, while the CCS contract leads to coordination under lower supplier BP. We also analyze the interrelation between contract parameters for channel coordination and establish the relationship between bargaining power and optimal supply contracts. Our findings reveal that revenue sharing and capacity cost sharing fractions are positively proportional to each other in the coordinated CCS contract, and the compensation rate for the surplus capacity increases as capacity cost sharing rate increases to achieve a coordinated SCC contract.
",Supply contracts with investment cost sharing under arbitrary bargaining powers,"[64766, 78728, 44625]",810,"[138, 65, 61]",1872,Lot-sizing with game theory aspects,32,9,49,"Lot Sizing, Lot Scheduling and Production Planning","Tuesday, 12:30-14:00",T,C,12:30,14:00,2024-07-02,M1 [building - 101],"['Supply Chain Management', 'Logistics', 'Inventory']",TC-49
"The circular economy encourages a move away from the traditional linear corporate approach to production and consumption in favor of integrated systems with external connections and in which materials circulate in a closed circular loop leading to substantial improvements in resource efficiency, energy savings and achievement of sustainability goals. In this transitional process, access to bank financing for firms is a key challenge not only in the perspective of circular businesses but also in the perspective of banks which must consider new factors that may influence the creditworthiness evaluation process with an impact on risk management. Consequently, circular businesses and banks are linked in a new systemic and complex approach both in practice and in academic literature. The aim of this research is to explore this twofold area and understand its main characteristics in order to develop future research on this topic. To achieve this objective we developed a conceptual framework that guided a literature review based on a selection of 42 articles explored through a bibliometric and thematic analysis. Our results confirm the complexity of the relationship between circular businesses and banks - in the implementation process circular businesses are mainly faced with financial barriers; banks do not consider the impact of circularity factors in assessing credit risk and default probability of circular businesses; there is a need for banks to shift from a shareholder vision.",Financing the circular economy - effects on bank risk management,"[77482, 50941, 80281]",386,"[44, 126, 100]",1874,New Challenges for Risk Management ,4,10,63,"OR in Banking, Finance and Insurance - New Tools for Risk Management","Tuesday, 14:30-16:00",T,D,14:30,16:00,2024-07-02,S14 [building - 101],"['Finance and Banking', 'Risk Analysis and Management', 'OR in Sustainability']",TD-63
"This paper proposes a new approach to modeling of vehicle routing problems with a MinMax objective. At the core of the approach, a Set Partitioning model is formulated and used for minimizing infeasibility of the considered vehicle routing problem for a given upper bound on the objective value. Generally, the optimal value of the MinMax objective is obtained as the smallest upper bound for which the Set Partitioning model obtains a total infeasibility of zero. Computational experience shows very promising results.",A Set Partitioning Model for MinMax Vehicle Routing,"[6803, 36026]",755,"[145, 0]",1875,Column Generation for Vehicle Routing,5,4,58,VeRoLog - Vehicle Routing and Logistics,"Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,S07 [building - 101],['Vehicle Routing'],MC-58
"Green bonds are widely utilized financial instruments designed for the purpose of funding environmentally friendly projects. Positive environmental effects of green bonds have been analyzed previously. These investigations largely rely on the Difference-in-difference models to gauge the overall impacts. We investigate the influence of corporate green bonds on the environmental performance of issuers at an individual level and employ a Controlled Interrupted Time Series Model. When statistically significant effects on the issuers’ environmental performance, measured by the E score of the issuers’ ESG, are determined, two sequential experiments are performed - firstly, we probe into the factors that can influence the issuance of green bonds. Secondly, we examine the interrelations between company characteristics, issuer characteristics, and the magnitude of the effects released by green bonds. To address the first and second experiment, we build a random forest and a generalized additive model, respectively. Our findings indicate that the environmental performance of most issuers improves following the issuance of green bonds. While both bond and company characteristics influence the impact of green bonds, it is the company’s characteristics that play a more pivotal role.",Green Bonds and Environmental Scores - analysing impact and factors of environmental performance,[76128],246,"[66, 139, 45]",1876,"AI in Eco-Finance - Time, Space, and Networks",53,3,08,AI & Innovation in Sustainable Finance,"Monday, 10:30-12:00",M,B,10:30,12:00,2024-07-01,1020 [building - 202],"['Machine Learning', 'Sustainable Development', 'Financial Modelling']",MB-08
"GAMS Engine SaaS is a cloud-based service that allows users to run GAMS jobs on a scalable and flexible infrastructure, currently provided by Amazon Web Services [AWS]. It was launched in early 2022 and has since attracted a variety of customers who benefit from its features, such as horizontal auto-scaling, instance sizing, zero maintenance, and simplified license handling. GAMS Engine SaaS is especially suitable for workloads that require large amounts of compute power and can be adapted to many different scenarios. In this presentation, we show a case study of a large international consultant agency that uses GAMS Engine SaaS to run Monte-Carlo simulations of a large energy system model in response to varying climate change scenarios. We describe how they leverage the GAMS Engine API to submit and monitor their jobs, how they select the appropriate instance type for each job, and how they can use custom non-GAMS code on Engine SaaS. We also discuss the challenges and benefits of using GAMS Engine SaaS for this type of application, and provide some insights into the future development of the service.",GAMS Engine SaaS - A Cloud-Based Solution for Large-Scale Optimization Problems,[56010],240,"[134, 151]",1877,Modeling Languages,76,8,30,Software for Optimization,"Tuesday, 10:30-12:00",T,B,10:30,12:00,2024-07-02,53 [building - 208],"['Software', 'Practice of OR']",TB-30
"Proposals to include adjustments such as brown penalising and green supporting factors in the prudential regulation are meant to direct bank lending towards environmentally friendly projects. However, such adjustments can blur the lines between prudential credit risk assessment and environmental objectives. Favouring green projects, although clearly socially responsible in the long term, may channel bank lending towards excessively risky assets in the short–term and provide a distorted picture of the true financial health of the bank. We adopt a principal–agent approach to formalise this trade–off and highlight its impact on bank lending. We also show that banks could also decide to redirect lending towards green projects without a direct intervention of the regulator. For instance, investor pressures.","Green-Supporting Factors, Brown-Penalising Factors and the Prudential Framework -  A Theoretical Approach","[77486, 77484]",275,"[45, 40]",1880,Optimization Model for Novel Risks in Finance and Climate,4,5,63,"OR in Banking, Finance and Insurance - New Tools for Risk Management","Monday, 14:30-16:00",M,D,14:30,16:00,2024-07-01,S14 [building - 101],"['Financial Modelling', 'Environmental Management']",MD-63
"Influence diagrams are an intuitive representation of decision problems with dependencies between uncertain events, decisions, and consequences. Recently, two frameworks that transform influence diagrams into mixed-integer-linear programs [MILP] have been developed. Decision Programming [Salo et al., EJOR 299/2, 2022] enforces constraints on different possible realizations of the whole problem. This exposes the full probability distribution of consequences to be used in the optimization model, which in turn allows risk to be explicitly constrained or optimized. Rooted junction tree approach [Parmentier et al., Informs Journal on Optimization, 2/3, 2020] decomposes an influence diagram into clusters, that are subsets of nodes, and finds the probability distributions of these clusters with a MILP. Compared to decision programming, the rooted junction tree model offers better computational performance, but risk cannot be straightforwardly represented in the optimization model. We present approaches and conditions that combine the computational efficiency of rooted junction trees and the modeling flexibility of decision programming. More specifically, we highlight how risk can be directly represented in rooted junction tree models with examples. ",Risk averse mixed-integer linear programming models for influence diagrams,"[77261, 67611, 57798]",483,"[136, 25, 126]",1882,Decision problems represented as influence diagrams,49,12,34,"Stochastic, Robust and Distributionally Robust Optimization","Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,43 [building - 303A],"['Stochastic Optimization', 'Decision Analysis', 'Risk Analysis and Management']",WA-34
"In this talk, we introduce large-scale mathematical optimization problems that arise within the complex landscape of the information and communication industry. Our focus spans several practical scenarios, including resource allocation in large scale data networks, traffic planning in optical networks, as well as task allocation and scheduling in deployment operations. These optimization challenges predominantly fall into the categories of LP or MILP. The scale of these problems varies significantly, ranging from millions to billions of variables and constraints. Some medium-sized problems necessitate real-time decision-making, with solving times in milliseconds to seconds. The larger problems demand hours of computational effort for offline planning. The stringent requirement poses considerable challenges, especially given the constraints of single-server computational resources. We aim to strike a balance between customized and generic design approaches across multiple dimensions, including optimality, efficiency, robustness, and generality. Leveraging Huawei’s OptVerse optimization solver, the design solution directly translates to increased revenue or reduced costs. Additionally, some contributions further enhance OptVerse’s generic problem-solving performance. Lastly, we explore the concept of co-optimization of software and hardware—a new dimension that promises innovative solution design, novel development modes, and potential business models for future solvers.",Recent Advances in Solving Large-Scale Optimizations from an Industry Perspective,"[70665, 77683, 77686, 77461, 77692, 77465, 77693, 78539]",297,"[63, 38, 72]",1883,Advances in Optimization for Industrial Applications,64,12,29,Combinatorial Optimization,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,157 [building - 208],"['Large Scale Optimization', 'Engineering Optimization', 'Mathematical Programming']",WA-29
"The radius of robust feasibility provides a numerical value for the largest possible uncertainty set that guarantees feasibility of a robust counterpart of a mathematical program with uncertain constraints. The objective of this review of the state-of-the-art in this field is to present this useful tool of robust optimization to its potential users and to avoid undesirable overlapping of research works on the topic as those we have recently detected. In this paper we overview the existing literature on the radius of robust feasibility in continuous and mixed-integer linearly constrained programs, linearly constrained semi-infinite programs, convexly constrained programs, and conic linearly constrained programs. We also analyze the connection between the radius of robust feasibility and the distance to ill-posedness for different types of uncertain mathematical programs.",A review on the radius of robust feasibility of uncertain mathematical programs,"[18816, 4799, 77491, 42455]",266,"[127, 0]",1885,Infinite Optimization - stability and duality,82,12,42,Variational Analysis and Continuous Optimization,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,98 [building - 306],['Robust Optimization'],WA-42
"The moment-SOS hierarchy provides a sequence of lower bounds on the minimum of a polynomial f on a semialgebraic set S. These bounds can be computed by solving semidefinite programs of increasing size, corresponding to sum-of-squares representations of increasing degree. As a consequence of powerful Positivstellensätze from real algebraic geometry, the bounds are known to converge to the true minimum of f under mild assumptions on the feasible region S. In this talk, we discuss some recent progress on the asymptotic behaviour of the SOS-hierarchy for certain special choices of S, such as the unit hypercube.
",Convergence analysis of the sum-of-squares hierarchy for polynomial optimization,[77488],155,"[115, 0]",1886,Applications of polynomial optimization,68,4,38,"Conic Optimization - Theory, Algorithms, and Applications","Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,34 [building - 306],"['Programming, Semidefinite']",MC-38
"For semidefinite programs where the solution is nonunique but the dimension of the optimal face is smaller than the dimension of the affine space, it is not immediately clear how to round the numerical output of an interior-point solver to an exact optimal solution. Rounding each entry of the solution matrices often does not work since the analytical center of the optimal face is complicated to describe. Projecting into the affine space also does not work, since the projection will not be positive semidefinite. In [Dostert, de Laat, Moustrou 2021] a rounding approach using the LLL algorithm is given. I will explain our improved method, using the LLL algorithm in different ways, which is much faster for large semidefinite programs. This allows us to prove the optimality of several spherical codes using semidefinite programming bounds.",From approximate to exact optimal solutions of large semidefinite programs,"[75160, 77492, 76625]",378,"[115, 5, 60]",1888,Recent advances in LP and SDP for discrete optimization problems,68,12,38,"Conic Optimization - Theory, Algorithms, and Applications","Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,34 [building - 306],"['Programming, Semidefinite', 'Algorithms', 'Interior Point Methods']",WA-38
"Recently, deep reinforcement learning [DRL] has been applied to solve scheduling problems in real-time. These methods involve generating a policy through interaction with thousands of random instances, leading to enhanced solutions by maximizing a reward. However, real-world instances often exhibit repetitive patterns and represent only a small subset of all possible scenarios. Additionally, obtaining a large number of examples is uncommon in real-world applications. In this paper, we propose a methodology to learn an optimized dispatching rule tailored to a specific set of instances. To do this, we model the scheduling problem as a Markov process, employ graph neural networks to represent instances, and utilize behavioral cloning alongside optimal solutions to simpler instances to determine the best policy. Given the challenge of training with limited instances, we suggest initially training a general scheduler using diverse instances. Subsequently, this model undergoes retraining to adapt to specific distributions, involving fine-tuning of its last layers for efficient adaptation. To validate our approach, we conduct experiments on both the job-shop scheduling problem [JSSP] and the flexible JSSP in several public scheduling benchmarks. Results demonstrate that our method, trained using behavioral cloning, outperforms DRL-trained models. Additionally, we show that the retraining strategy enables superior performance compared to a general model trained with random instances.",Solving scheduling problems in real-time through deep learning methods,"[76823, 63773, 63726]",517,"[14, 8, 129]",1889,"Advancements of OR-analytics in statistics, machine learning and data science 8",16,12,28,"Advancements of OR-analytics in statistics, machine learning and data science","Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,065 [building - 208],"['Combinatorial Optimization', 'Artificial Intelligence', 'Scheduling']",WA-28
"The goal of this talk is to provide sharp spectral gap estimates for problems involving higher-order operators [including both the clamped and buckling plate problems] on Cartan-Hadamard manifolds. The proofs are symmetrization-free -- thus no sharp isoperimetric inequality is needed -- based on two general, yet elementary functional inequalities. The spectral gap estimate for clamped plates solves a sharp asymptotic problem from Cheng and Yang [Proc. Amer. Math. Soc., 2011] concerning the behavior of higher-order eigenvalues on hyperbolic spaces, and answers a question raised in Kristály [Adv. Math., 2020] on the validity of such sharp estimates in high-dimensional Cartan-Hadamard manifolds. As a byproduct of the general functional inequalities, various Rellich inequalities are established in the same geometric setting.",Sharp spectral gap estimates for higher-order operators on Cartan-Hadamard manifolds,[61877],904,"[81, 0]",1890,	Optimization on Geodesic Metric Spaces I - Smooth case,69,5,41,Optimization on Geodesic Metric Spaces - Smooth and Nonsmooth,"Monday, 14:30-16:00",M,D,14:30,16:00,2024-07-01,97 [building - 306],['Non-smooth Optimization'],MD-41
"Imbalances between demand and capacity at the world’s busiest airports cause air traffic delays, which can have serious financial and environmental consequences. To alleviate the burden on runway capacity, various types of interventions are possible. At the pre-tactical stage [up to a few hours before a day of operations], the schedule can be adjusted by imposing ground delays on flights in order to avoid “hotspots” of delay occurring at peak times. At the tactical stage [during the day of operations itself], sequencing of take-offs and landings can be optimised in order to minimise average time separations between runway movements.

This talk will discuss the progress of an EPSRC-funded project [EP/X039803/1] aimed at integrating pre-tactical and tactical interventions in order to reduce air traffic delays at Heathrow Airport. We formulate a stochastic dynamic optimisation problem in which the “system state” at any given time includes hundreds of variables evolving via continuous-time stochastic processes. Solution approaches via approximate dynamic programming are possible in theory, but very difficult to implement in practice. Instead we consider an approach based on the emerging field of “simheuristics”, which involves continuously simulating possible trajectories of future random events and using a ranking and selection method to jointly optimise both runway sequencing and ground holding delay decisions.",Stochastic Dynamic Models for Reducing Air Traffic Delays at Heathrow,"[67675, 47772]",331,"[143, 135, 131]",1891,Airline Applications I,6,4,55,Transportation,"Monday, 12:30-14:00",M,C,12:30,14:00,2024-07-01,S02 [building - 101],"['Transportation', 'Stochastic Models', 'Simulation']",MC-55
"Healthcare institutions, including hospitals and retirement homes, face various challenges. They struggle with tight budgets due to government savings and rising costs. Moreover, they deal with a shortage of care staff due to high workloads, forcing them to make an effort to relieve non-care tasks [i.e., logistics tasks]. These challenges put significant pressure on healthcare institutions. To address these challenges, hospitals aim to reduce costs and improve healthcare logistics while ensuring high-quality care. One key opportunity to improve healthcare logistics is consolidating inventory across healthcare institutions. This entails healthcare institutions within a network pooling their inventory from individual warehouses into one or a few central care hubs. Decision support for inventory pooling is facilitated by integrated decision-making on location and inventory. Adopting this integrated decision-making can cut costs and enhance healthcare logistics while at least maintaining quality of service. This research aims to develop innovative models and solution algorithms, providing decision support to improve healthcare logistics by integrating location and inventory decisions. This talk will discuss key findings from a new literature review on integrating these decisions, covering 44 papers across contexts like manufacturing, healthcare, spare parts, etc. Moreover, a first mathematical model focusing on integrating these decisions in a healthcare context will be proposed.",Integrating location and inventory decisions in healthcare supply chains - review and first model,"[75024, 23971, 23979]",768,"[65, 64, 61]",1892,Location in Logistics and Supply Chain Management,29,10,61,Locational Analysis,"Tuesday, 14:30-16:00",T,D,14:30,16:00,2024-07-02,S10 [building - 101],"['Logistics', 'Location', 'Inventory']",TD-61
"In this paper, we propose to determine optimal portfolios using the Herd Behavior Index [HIX, Dhaene et al. [2012]]. The HIX is a diversification measure that provides information about the extent to which stock prices move together in the same direction. The optimal minimum-HIX, as well as mean-HIX, portfolio can be seen as the most diversified one since it has the lowest degree of co-movement. We make use of a reformulation method for determining the minimum-HIX, and mean-HIX, portfolios, as their closed-form expressions are not readily available in a general setting. This also allows us to study the mean-HIX efficient frontier. We prove the existence of the minimum-HIX, and mean-HIX, portfolios in the general setting, and provide their closed-form expressions in the two-stock case. We also study how to determine the minimum-HIX, and mean-HIX, portfolios when short-selling is allowed. This requires us to generalize the definition of HIX in order to ensure that the [theoretical] comonotonic portfolio always exceeds the [actual] portfolio in convex order.  

[1] Dhaene, J., Linders, D., Schoutens, W. & Vyncke, D. [2012], ‘The herd behavior index - A new measure for the implied degree of co-movement in stock markets’, Insurance - Mathematics and Economics 50[3], 357–370. 
",Portfolio selection based on the Herd Behavior Index,"[77001, 77496, 77497]",571,"[45, 83]",1894,Methodology in asset allocation and banking,74,5,57,Modern Decision Making in Finance and Insurance,"Monday, 14:30-16:00",M,D,14:30,16:00,2024-07-01,S06 [building - 101],"['Financial Modelling', 'Optimization in Financial Mathematics']",MD-57
"Demand-responsive multimodal transit offers opportunities to complement existing public transport systems and provide a better service level to passengers while simultaneously making better use of the resources. This study optimizes the capacity of such a system by strategically sizing the required fleet and allocating it to the operating services. We formulate a two-stage stochastic optimization model that plans the transit system and the required fleet in the first stage and optimizes the demand-responsive operations in the second stage. We develop a decomposition-based method that exploits the network-based formulation of the second stage, allowing us to solve practical instances. Results from a case study in Zurich show that jointly designing and operating public transport and on-demand systems can benefit transport operators and passengers. By allocating the system capacity more efficiently, operators reduce operational costs while maintaining or improving the travel experience for passengers.",Dynamic capacity planning for demand-responsive multimodal transit,"[65221, 58406]",587,"[119, 136, 63]",1897,Demand-responsive public transport 2,85,14,54,Public Transport Optimization,"Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,S01 [building - 101],"['Public Local Transportation Systems', 'Stochastic Optimization', 'Large Scale Optimization']",WC-54
" In this project we help a retailer increase his revenue and decrease his waste by introducing a new selling strategy. Instead of offering his original, fixed priced assortment, he will additionally sell an ‘opaque product’ with a dynamic price as he sees fit. As he does not now how his clientele will respond to this new product and its price, we help him to find the right balance between earning [by optimizing his revenue] and learning [by gathering enough information to be able to estimate the effect of the new product]. An interesting problem with many mathematical challenges.
","Good stuff - Matching supply and demand by introducing an opaque product - Pricing, learning, fun.",[77304],696,"[124, 108, 135]",1898,Learning and pricing,11,7,59,Pricing and Revenue Management,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,S08 [building - 101],"['Revenue Management and Pricing', 'Programming, Dynamic', 'Stochastic Models']",TA-59
"The Ubiquity Generator framework [UG] was originally designed to parallelize powerful state-of-the-art branch-and-bound based solvers [we call these “base solvers”]. Two of the most intensively developed parallel solvers are FiberSCIP [for a shared memory computing environment] and ParaSCIP [for a distributed computing environment]. Both of which use SCIP as the base solver. Since debugging on distributed environments is inefficient, FiberSCIP was developed, which has the same parallelization algorithms as ParaSCIP [since UG abstracts the parallelization library] but can run on a single PC. Due to the major debugging effort of UG and SCIP via FiberSCIP, ParaSCIP could solve more than 20 open instances from MIPLIB by using up to 80,000 cores and none of these results has been proven wrong so far. Since UG provides a systematic way to parallelize a state-of-the-art sequential or multi-threaded solver to run on a large-scale distributed memory environment, with version 1.0, UG is generalized to a software framework for high-level task parallelization. That is, with version 1.0, UG will not only parallelize the tree search of branch-and-bound-based solvers but allow the parallelization of other kinds of solvers. In this talk, we present the latest status for exactly solving previously unsolved instances of combinatorial optimization problems.","Finding optimal solutions to previously unsolved combinatorial optimization problems by using more than 100,000 cores",[29543],191,"[102, 14, 134]",1900,Parallel Solvers,76,7,30,Software for Optimization,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,53 [building - 208],"['Parallel Algorithms and Implementation', 'Combinatorial Optimization', 'Software']",TA-30
"The rising demand for materials such as wood undeniably contributes to the depletion of natural resources and global warming. Recycling our wood waste intelligently could help to curb this phenomenon and have a significant ecological impact. This wood waste can be in the form of beams or pallets and could be considered as wood slats. They could be combined, assembled, and glued to create Cross-Laminated Timber [CLT] panels for the construction industry.

We aim to develop optimization techniques to recycle raw wood waste by providing the layout schemes to create CLT panels. The objective can be either to maximize the CLT panel production or to minimize the wood surplus when a given set of panels should be built.

We conducted a literature review to identify relatively similar problems in the operations research field. The skiving stock problem and the dual bin packing problem are the two closest problems to our. The second’s name is quite misleading since our problem is technically not a dual version of the
cutting stock/bin packing problem, but a problem on its own as shown in the literature.

In this work, we propose a clear description of our problem and different mathematical formulations with cuts for the variants. The results of various numerical experiments with field data from the wood industry are presented. As it is an NP-hard problem, we identify the limit size of the instances for which the problem can still be solved in a reasonable amount of time.",Mathematical formulations for wood recycling optimization,"[76755, 36600]",226,"[109, 23, 14]",1901,Applications of combinatorial optimisation in industry and services I,64,7,29,Combinatorial Optimization,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,157 [building - 208],"['Programming, Integer', 'Cutting and Packing', 'Combinatorial Optimization']",TA-29
"Online food ordering is well-developed nowadays, with many people choosing to order their meal online and waiting at home instead of going to a restaurant. We consider a dynamic online restaurant meal delivery problem [ORMDP] where a pool of drivers deliver food from multiple restaurants to ordering customers. The objectives are to reduce both delivery delays and unfairness for drivers to satisfy those two main stakeholders in the meal delivery process. In practice, order delays increase significantly when the demand for orders is high relative to the number of available drivers. To address this issue, we consider the ORMDP as two sub-problems, order bundling and order assignment. First, we implement a policy-based order bundling algorithm that gather orders into groups within drivers’ capacity.  Second, we propose an order assignment algorithm to allocate the groups to drivers considering both delay reduction and fairness to drivers. In order to enhance realism, we emulate the behavior of drivers as they await assignments by employing an Iterative K-means Clustering approach [IKC]. This method entails clustering proximate restaurants into zones, from which drivers opt for selections in accordance with probability distributions. Finally, we developed a discrete-time simulation model to test our methods using public data. The experimental results show that order bundling and fair assignment can effectively improve the delivery service in ORMDP.",Online Restaurant Meal Delivery Problem - Order Bundling and Fair Assignment,"[77262, 48934, 9228]",789,"[65, 145, 143]",1904,Logistics 3,5,15,58,VeRoLog - Vehicle Routing and Logistics,"Wednesday, 14:30-16:00",W,D,14:30,16:00,2024-07-03,S07 [building - 101],"['Logistics', 'Vehicle Routing', 'Transportation']",WD-58
